show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description,month_added,duration_movies,duration_tv
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,NULL,UnitedStates,2021-09-25 00:00:00,2020,PG-13,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",September,90,90
s2,TV Show,Blood & Water,NULL,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",SouthAfrica,2021-09-24 00:00:00,2021,TV-MA,"InternationalTVShows,TVDramas,TVMysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",September,2,2 Seasons
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",NULL,2021-09-24 00:00:00,2021,TV-MA,"CrimeTVShows,InternationalTVShows,TVAction&Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",September,1,1 Season
s4,TV Show,Jailbirds New Orleans,NULL,NULL,NULL,2021-09-24 00:00:00,2021,TV-MA,"Docuseries,RealityTV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",September,1,1 Season
s5,TV Show,Kota Factory,NULL,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,2021-09-24 00:00:00,2021,TV-MA,"InternationalTVShows,RomanticTVShows,TVComedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",September,2,2 Seasons
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",NULL,2021-09-24 00:00:00,2021,TV-MA,"TVDramas,TVHorror,TVMysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",September,1,1 Season
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",NULL,2021-09-24 00:00:00,2021,PG,Children&FamilyMovies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",September,91,91
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri",UnitedStates Ghana BurkinaFaso UnitedKingdom Germany Ethiopia,2021-09-24 00:00:00,1993,TV-MA,"Dramas,IndependentMovies,InternationalMovies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",September,125,125
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",UnitedKingdom,2021-09-24 00:00:00,2021,TV-14,"BritishTVShows,RealityTV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",September,9,9 Seasons
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",UnitedStates,2021-09-24 00:00:00,2021,PG-13,"Comedies,Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,September,104,104
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",NULL,NULL,NULL,2021-09-24 00:00:00,2021,TV-MA,"CrimeTVShows,Docuseries,InternationalTVShows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",September,1,1 Season
