,GX000-01-10544170,GX000-09-2703409,GX000-10-4524900,GX000-14-10770491,GX000-14-16748010,GX000-14-5445022,GX000-16-0145015,GX000-16-4063715,GX000-21-2440731,GX000-22-12322384
link,0.5968611261631768,0.5047292050748748,0.520755955606395,0.0,0.5050487459583123,0.5186803600457556,0.5311339334095926,0.5173195391152701,0.5031483752886104,0.5057478030910016
nation,0.5328630812963298,0.5112316860126697,0.0,0.5206349580232769,0.5239811674324568,0.0,0.536970966458371,0.5763903412914685,0.0,0.510238113788472
cancer,1.3958797346140275,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
institut,0.5695979426941871,0.0,0.5695979426941871,0.0,0.0,0.0,0.0,0.512444665249954,0.5017594985512576,0.0
center,0.5300344524524566,0.5256623486144408,0.0,0.5094294211187945,0.5054792582176779,0.0,0.5112629196696712,0.5483335890460064,0.5022778938657763,0.5031189623700628
research,0.5813786880494896,0.0,0.7136190561299103,0.5127745614961408,0.0,0.0,0.5762925200463965,0.5036377890353249,0.0,0.0
contact,0.5328630812963298,0.5056158430063348,0.5492946219444946,0.0,0.5059952918581142,0.0,0.6848548322918548,0.5264428104470468,0.5012462123525293,0.0
ccr,1.0328656161774157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homepag,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nci,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home,0.5513442355970329,0.5021935037359492,0.5385081766977747,0.5161197018734871,0.5093668537913506,0.5693147180559945,0.5192540883488874,0.5413134081128445,0.5019470426420223,0.507997852083384
nih,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
search,0.5138373037375967,0.5047292050748748,0.520755955606395,0.5086885395561653,0.0,0.5186803600457556,0.5103779778031975,0.50742265962083,0.5010494584295369,0.5057478030910016
compar,0.8981687709395678,0.0,0.0,0.0,0.0,0.0,0.0,0.5118659567498547,0.0,0.0
oncolog,0.8996492121330617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
program,0.6351550360360547,0.502566234861444,0.5675775180180274,0.5094294211187945,0.5273962910883895,0.0,0.7252583933934247,0.5241667945230032,0.0,0.515594811850314
introduct,0.5331807309116307,0.5056701249026204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specif,0.5543087803256825,0.5371224574378083,0.0,0.0,0.0,0.0,0.0,0.5048554207575942,0.0,0.0
aim,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time,0.5463986284627914,0.5198221988685976,0.0,0.0,0.0,0.0,0.0,0.512444665249954,0.5439874637814385,0.0
for,0.5600689049049132,0.5076987045843322,0.5225258393393425,0.5094294211187945,0.0,0.0,0.5337887590090137,0.5053703987828896,0.5045557877315524,0.5093568871101884
implement,0.5543087803256825,0.6160076794931509,0.0,0.0,0.0,0.0,0.5407315852442619,0.0,0.0,0.0
background,0.5331807309116307,0.5056701249026204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the,0.6106984299007735,0.5378336405989985,0.5622678668191851,0.0,0.515146237874937,0.5934018002287776,0.5518898890159876,0.7944321649595905,0.5241375438793471,0.5086217046365026
compliment,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number,0.5231993142313957,0.5039644397737195,0.0,0.0,0.0,0.0,0.0,0.6949664222492791,0.0,0.5096366382191951
new,0.5328630812963298,0.5028079215031674,0.0,0.6238097481396608,0.5959246697298274,0.0,0.0,0.5528856208940935,0.5162007605828817,0.5341270459615732
initi,0.6357719508142062,0.5139209215391781,0.0,0.0,0.0,0.0,0.0,0.5291325245455648,0.0,0.0
design,0.5821577032408244,0.5365029795411764,0.5246473109722473,0.5103174790116384,0.0,0.0,0.5492946219444946,0.5058761800993438,0.0,0.5034127045961573
improv,0.5231993142313957,0.0,0.5347989713470935,0.0,0.0,0.0,0.5869974283677339,0.5082964434999693,0.0,0.0
translat,0.599542192734892,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
process,0.5406893440247448,0.5104298635000137,0.5305170080185586,0.0,0.0,0.0,0.0,0.5072755780706497,0.5030859895749105,0.0
announc,0.5203446720123724,0.5069532423333425,0.0,0.5127745614961408,0.0,0.0,0.0,0.5254645232472741,0.0,0.5042254318794928
refer,0.5271543901628413,0.0,0.0,0.0,0.0,0.0,0.0,0.5097108415151883,0.0,0.5056397579568978
studi,0.5663614618232613,0.0,0.5497710963674459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natur,0.5695979426941871,0.507928879547439,0.0,0.0,0.0,0.0,0.5173994856735468,0.5082964434999693,0.0,0.0
develop,0.5657261625926595,0.5196554505221719,0.5246473109722473,0.5103174790116384,0.0,0.0,0.5862655884028656,0.5058761800993438,0.0,0.5034127045961573
anim,0.8996492121330617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,0.6623951996197699,0.5118933193211586,0.0,0.0,0.0,0.0,0.5347989713470935,0.0,0.5017594985512576,0.0
human,0.7654458472930452,0.0,0.5497710963674459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diseas,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.517798935124782,0.0,0.0
a,0.5328630812963298,0.5112316860126697,0.5492946219444946,0.0,0.0,0.0,0.536970966458371,0.5411332606954061,0.5274166717556459,0.5068254091923147
signific,0.5271543901628413,0.5046403071797261,0.0,0.0,0.0,0.0,0.0,0.5097108415151883,0.0,0.0
group,0.5363270093708047,0.0,0.5817357710843105,0.5228099826281797,0.0,0.0,0.5136226285140517,0.5227344528843778,0.0,0.5113172606116738
occur,0.5463986284627914,0.5118933193211586,0.0,0.0,0.0,0.0,0.0,0.5041482217499846,0.0,0.5048183191095976
pet,0.8552437441182772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primarili,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
cat,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
these,0.5231993142313957,0.0,0.0,0.0,0.0,0.0,0.5521984570206403,0.5290375522498927,0.0,0.5048183191095976
larg,0.5463986284627914,0.5039644397737195,0.6043969140412807,0.0,0.0,0.0,0.0,0.5082964434999693,0.0,0.0
share,0.5814631704885237,0.0,0.0,0.5170504310324817,0.0,0.0,0.0,0.5097108415151883,0.0,0.0
mani,0.5610340160371172,0.0,0.0,0.5127745614961408,0.0,0.5274653072167027,0.0,0.5509290464945481,0.0,0.5084508637589855
featur,0.5463986284627914,0.0,0.5347989713470935,0.0,0.0,0.0,0.0,0.5041482217499846,0.5087974927562877,0.0
includ,0.6089810281124141,0.5403505705352926,0.0,0.0,0.0,0.5245207313252932,0.554490514056207,0.5194866739008952,0.0,0.5113172606116738
tumor,0.633216404044354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
histolog,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genet,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
respons,0.5363270093708047,0.6086361514411722,0.5272452570281035,0.0,0.0,0.5490414626505863,0.5136226285140517,0.5064955579669651,0.0,0.0
convent,0.599542192734892,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
therapi,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biolog,0.6900807311398887,0.5046403071797261,0.0,0.0,0.0,0.0,0.0,0.5048554207575942,0.0,0.0
behavior,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.7488554818372298,0.0,0.0,0.0
exampl,0.5231993142313957,0.5158577590948781,0.0,0.0,0.0,0.0,0.0,0.512444665249954,0.0,0.5048183191095976
osteosarcoma,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lymphoma,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
head,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5118659567498547,0.0,0.0
neck,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carcinoma,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prostat,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
