Query_id,Precision,Recall,Avg_Precision
701,0.0000,0.0000,0.0000
702,0.0000,0.0000,0.0000
704,0.0000,0.0000,0.0000
705,0.0000,0.0000,0.0000
706,0.0000,0.0000,0.0000
707,0.0000,0.0000,0.0000
708,0.0000,0.0000,0.0000
709,0.0000,0.0000,0.0000
711,0.1000,0.0200,0.0143
712,0.0000,0.0000,0.0000
713,0.0000,0.0000,0.0000
714,0.0000,0.0000,0.0000
715,0.0000,0.0000,0.0000
716,0.0000,0.0000,0.0000
722,0.0000,0.0000,0.0000
723,0.0000,0.0000,0.0000
724,0.0000,0.0000,0.0000
725,0.0000,0.0000,0.0000
727,0.0000,0.0000,0.0000
729,0.0000,0.0000,0.0000
730,0.0000,0.0000,0.0000
733,0.0000,0.0000,0.0000
735,0.0000,0.0000,0.0000
737,0.0000,0.0000,0.0000
738,0.0000,0.0000,0.0000
739,0.0000,0.0000,0.0000
740,0.0000,0.0000,0.0000
741,0.1000,0.0200,0.0167
743,0.0000,0.0000,0.0000
745,0.0000,0.0000,0.0000
746,0.0000,0.0000,0.0000
747,0.0000,0.0000,0.0000
749,0.0000,0.0000,0.0000
750,0.0000,0.0000,0.0000
751,0.0000,0.0000,0.0000
752,0.0000,0.0000,0.0000
753,0.1000,0.0200,0.0250
755,0.0000,0.0000,0.0000
757,0.0000,0.0000,0.0000
760,0.0000,0.0000,0.0000
761,0.0000,0.0000,0.0000
763,0.0000,0.0000,0.0000
770,0.0000,0.0000,0.0000
771,0.0000,0.0000,0.0000
772,0.0000,0.0000,0.0000
776,0.0000,0.0000,0.0000
782,0.0000,0.0000,0.0000
792,0.0000,0.0000,0.0000
794,0.1000,0.0200,0.0500
795,0.0000,0.0000,0.0000
798,0.0000,0.0000,0.0000
801,0.0000,0.0000,0.0000
802,0.0000,0.0000,0.0000
804,0.0000,0.0000,0.0000
806,0.0000,0.0000,0.0000
808,0.0000,0.0000,0.0000
810,0.0000,0.0000,0.0000
811,0.0000,0.0000,0.0000
812,0.0000,0.0000,0.0000
816,0.0000,0.0000,0.0000
817,0.0000,0.0000,0.0000
818,0.0000,0.0000,0.0000
820,0.0000,0.0000,0.0000
821,0.1000,0.0200,0.0100
822,0.0000,0.0000,0.0000
824,0.0000,0.0000,0.0000
825,0.0000,0.0000,0.0000
826,0.0000,0.0000,0.0000
829,0.0000,0.0000,0.0000
830,0.0000,0.0000,0.0000
831,0.1000,0.0200,0.0333
834,0.0000,0.0000,0.0000
835,0.0000,0.0000,0.0000
836,0.0000,0.0000,0.0000
837,0.0000,0.0000,0.0000
838,0.0000,0.0000,0.0000
841,0.0000,0.0000,0.0000
843,0.0000,0.0000,0.0000
846,0.0000,0.0000,0.0000
847,0.0000,0.0000,0.0000
849,0.0000,0.0000,0.0000
850,0.0000,0.0000,0.0000
